Lap,Driver,Position,MCTS_Call,Confidence_Delta_Sec,Was_Computed,Total_Lap_Exec_Time
22,ANT,4,STAY OUT (TIRES FRESH),4.58,Yes,0.2
22,NOR,5,STAY OUT (TIRES FRESH),1.02,Yes,0.2
22,VER,6,PIT → HARD,14.63,Yes,0.2
22,LIN,7,STAY OUT (TIRES FRESH),16.04,Yes,0.2
22,BEA,8,STAY OUT (TIRES FRESH),15.92,Yes,0.2
22,BOR,9,STAY OUT (TIRES FRESH),16.1,Yes,0.2
22,GAS,10,STAY OUT (TIRES FRESH),0.17,Yes,0.2
22,OCO,11,PIT → HARD,0.09,Yes,0.2
22,SAI,12,PIT → HARD,0.14,Yes,0.2
22,ALB,13,STAY OUT (TIRES FRESH),3.56,Yes,0.2
22,LAW,14,PIT → HARD,0.15,Yes,0.2
22,COL,15,PIT → HARD,17.97,Yes,0.2
22,PER,16,STAY OUT (TIRES FRESH),16.15,Yes,0.2
22,STR,17,STAY OUT (TIRES FRESH),0.41,Yes,0.2
22,ALO,18,PIT → HARD,4.01,Yes,0.2
23,LEC,1,PIT → HARD,22.03,No,0.4
23,HAM,2,PIT → HARD,20.18,Yes,0.4
23,RUS,3,STAY OUT (TIRES FRESH),2.8,Yes,0.4
23,ANT,4,STAY OUT (TIRES FRESH),3.58,Yes,0.4
23,NOR,5,STAY OUT (TIRES FRESH),0.14,Yes,0.4
23,VER,6,PIT → HARD,15.63,Yes,0.4
23,LIN,7,STAY OUT (TIRES FRESH),14.78,Yes,0.4
23,BEA,8,STAY OUT (TIRES FRESH),14.76,Yes,0.4
23,BOR,9,STAY OUT (TIRES FRESH),14.56,Yes,0.4
23,GAS,10,PIT → HARD,0.88,Yes,0.4
23,OCO,11,PIT → HARD,1.26,Yes,0.4
23,SAI,12,PIT → HARD,0.65,Yes,0.4
23,ALB,13,STAY OUT (TIRES FRESH),2.83,Yes,0.4
23,LAW,14,PIT → HARD,1.07,Yes,0.4
23,COL,15,PIT → HARD,18.78,Yes,0.4
23,PER,16,STAY OUT (TIRES FRESH),14.5,Yes,0.4
23,STR,17,PIT → HARD,0.77,Yes,0.4
24,LEC,1,PIT → HARD,21.07,Yes,0.25
24,HAM,2,PIT → HARD,19.85,Yes,0.25
24,RUS,3,STAY OUT (TIRES FRESH),1.85,Yes,0.25
24,ANT,4,STAY OUT (TIRES FRESH),2.69,Yes,0.25
24,NOR,5,PIT → HARD,0.72,Yes,0.25
24,VER,6,PIT → HARD,16.67,Yes,0.25
24,LIN,7,STAY OUT (TIRES FRESH),13.54,Yes,0.25
24,BEA,8,STAY OUT (TIRES FRESH),13.67,Yes,0.25
24,BOR,9,STAY OUT (TIRES FRESH),13.58,Yes,0.25
24,GAS,10,PIT → HARD,1.93,Yes,0.25
24,OCO,11,PIT → HARD,1.9,Yes,0.25
24,SAI,12,PIT → HARD,2.11,Yes,0.25
24,ALB,13,STAY OUT (TIRES FRESH),1.7,Yes,0.25
24,LAW,14,PIT → HARD,1.89,Yes,0.25
24,COL,15,PIT → HARD,19.11,Yes,0.25
24,PER,16,STAY OUT (TIRES FRESH),13.63,Yes,0.25
24,STR,17,PIT → HARD,1.91,Yes,0.25
25,HAM,1,PIT → HARD,19.33,Yes,0.2
25,RUS,2,STAY OUT (TIRES FRESH),0.91,Yes,0.2
25,ANT,3,STAY OUT (TIRES FRESH),1.87,Yes,0.2
25,LEC,4,PIT → HARD,20.64,Yes,0.2
25,NOR,5,PIT → HARD,1.56,Yes,0.2
25,VER,6,PIT → HARD,17.2,Yes,0.2
25,LIN,7,STAY OUT (TIRES FRESH),12.54,Yes,0.2
25,BEA,8,STAY OUT (TIRES FRESH),12.61,Yes,0.2
25,BOR,9,STAY OUT (TIRES FRESH),12.58,Yes,0.2
25,GAS,10,PIT → HARD,2.72,Yes,0.2
25,OCO,11,PIT → HARD,2.58,Yes,0.2
25,SAI,12,PIT → HARD,2.62,Yes,0.2
25,ALB,13,STAY OUT (TIRES FRESH),0.91,Yes,0.2
25,LAW,14,PIT → HARD,2.7,Yes,0.2
25,COL,15,PIT → HARD,19.67,Yes,0.2
25,PER,16,STAY OUT (TIRES FRESH),12.6,Yes,0.2
25,STR,17,PIT → HARD,2.57,Yes,0.2
26,HAM,1,PIT → HARD,18.79,Yes,0.18
26,RUS,2,STAY OUT (TIRES FRESH),0.11,Yes,0.18
26,ANT,3,STAY OUT (TIRES FRESH),1.05,Yes,0.18
26,LEC,4,STAY OUT (TIRES FRESH),20.61,Yes,0.18
26,NOR,5,PIT → HARD,2.3,Yes,0.18
26,VER,6,PIT → HARD,17.89,Yes,0.18
26,LIN,7,STAY OUT (TIRES FRESH),11.37,Yes,0.18
26,BEA,8,STAY OUT (TIRES FRESH),11.35,Yes,0.18
26,BOR,9,STAY OUT (TIRES FRESH),11.45,Yes,0.18
26,GAS,10,PIT → HARD,3.43,Yes,0.18
26,OCO,11,PIT → HARD,3.39,Yes,0.18
26,SAI,12,PIT → HARD,3.4,Yes,0.18
26,ALB,13,STAY OUT (TIRES FRESH),0.12,Yes,0.18
26,LAW,14,PIT → HARD,3.49,Yes,0.18
26,COL,15,PIT → HARD,20.09,Yes,0.18
26,PER,16,STAY OUT (TIRES FRESH),11.69,Yes,0.18
26,STR,17,PIT → HARD,3.52,Yes,0.18
27,HAM,1,PIT → HARD,18.1,Yes,0.17
27,RUS,2,PIT → HARD,0.82,Yes,0.17
27,ANT,3,STAY OUT (TIRES FRESH),1.05,No,0.17
27,LEC,4,STAY OUT (TIRES FRESH),19.41,Yes,0.17
27,NOR,5,PIT → HARD,2.82,Yes,0.17
27,VER,6,PIT → HARD,18.5,Yes,0.17
27,LIN,7,STAY OUT (TIRES FRESH),10.39,Yes,0.17
27,BEA,8,STAY OUT (TIRES FRESH),10.36,Yes,0.17
27,BOR,9,STAY OUT (TIRES FRESH),10.61,Yes,0.17
27,GAS,10,PIT → HARD,3.43,No,0.17
27,OCO,11,PIT → HARD,4.32,Yes,0.17
27,SAI,12,PIT → HARD,4.31,Yes,0.17
27,ALB,13,PIT → HARD,0.65,Yes,0.17
27,LAW,14,PIT → HARD,4.32,Yes,0.17
27,COL,15,PIT → HARD,20.03,Yes,0.17
27,PER,16,STAY OUT (TIRES FRESH),10.76,Yes,0.17
27,STR,17,PIT → HARD,18.77,Yes,0.17
28,RUS,1,PIT → HARD,1.19,Yes,0.19
28,ANT,2,PIT → HARD,0.3,Yes,0.19
28,LEC,3,STAY OUT (TIRES FRESH),18.43,Yes,0.19
28,HAM,4,PIT → HARD,17.08,Yes,0.19
28,NOR,5,PIT → HARD,3.44,Yes,0.19
28,VER,6,PIT → HARD,17.48,Yes,0.19
28,LIN,7,STAY OUT (TIRES FRESH),9.54,Yes,0.19
28,BEA,8,STAY OUT (TIRES FRESH),9.6,Yes,0.19
28,BOR,9,STAY OUT (TIRES FRESH),9.56,Yes,0.19
28,GAS,10,PIT → HARD,4.71,Yes,0.19
28,OCO,11,PIT → HARD,4.46,Yes,0.19
28,SAI,12,PIT → HARD,4.63,Yes,0.19
28,ALB,13,PIT → HARD,1.24,Yes,0.19
28,LAW,14,PIT → HARD,4.76,Yes,0.19
28,COL,15,PIT → HARD,19.48,Yes,0.19
28,PER,16,STAY OUT (TIRES FRESH),9.56,Yes,0.19
28,STR,17,PIT → HARD,19.13,Yes,0.19
29,RUS,1,PIT → HARD,1.83,Yes,0.2
29,ANT,2,PIT → HARD,0.75,Yes,0.2
29,LEC,3,STAY OUT (TIRES FRESH),17.27,Yes,0.2
29,HAM,4,STAY OUT (TIRES FRESH),20.87,Yes,0.2
29,NOR,5,PIT → HARD,4.0,Yes,0.2
29,VER,6,PIT → HARD,15.97,Yes,0.2
29,LIN,7,STAY OUT (TIRES FRESH),8.87,Yes,0.2
29,BEA,8,STAY OUT (TIRES FRESH),8.79,Yes,0.2
29,BOR,9,STAY OUT (TIRES FRESH),8.8,Yes,0.2
29,GAS,10,PIT → HARD,5.33,Yes,0.2
29,OCO,11,PIT → HARD,5.31,Yes,0.2
29,ALB,12,PIT → HARD,1.8,Yes,0.2
29,SAI,13,PIT → HARD,5.49,Yes,0.2
29,LAW,14,PIT → HARD,5.11,Yes,0.2
29,COL,15,PIT → HARD,17.6,Yes,0.2
29,PER,16,STAY OUT (TIRES FRESH),8.94,Yes,0.2
29,STR,17,PIT → HARD,17.55,Yes,0.2
30,RUS,1,PIT → HARD,2.41,Yes,0.28
30,ANT,2,PIT → HARD,1.21,Yes,0.28
30,LEC,3,STAY OUT (TIRES FRESH),16.34,Yes,0.28
30,HAM,4,STAY OUT (TIRES FRESH),19.86,Yes,0.28
30,NOR,5,PIT → HARD,4.32,Yes,0.28
30,VER,6,PIT → HARD,14.6,Yes,0.28
30,LIN,7,STAY OUT (TIRES FRESH),8.14,Yes,0.28
30,BEA,8,STAY OUT (TIRES FRESH),8.12,Yes,0.28
30,BOR,9,STAY OUT (TIRES FRESH),8.17,Yes,0.28
30,GAS,10,PIT → HARD,5.65,Yes,0.28
30,OCO,11,PIT → HARD,5.6,Yes,0.28
30,ALB,12,PIT → HARD,2.29,Yes,0.28
30,SAI,13,PIT → HARD,5.53,Yes,0.28
30,LAW,14,PIT → HARD,5.65,Yes,0.28
30,COL,15,PIT → HARD,16.5,Yes,0.28
30,PER,16,STAY OUT (TIRES FRESH),8.38,Yes,0.28
30,STR,17,PIT → HARD,17.55,No,0.28
31,RUS,1,PIT → HARD,2.57,Yes,0.16
31,ANT,2,PIT → HARD,1.71,Yes,0.16
31,LEC,3,STAY OUT (TIRES FRESH),15.43,Yes,0.16
31,HAM,4,STAY OUT (TIRES FRESH),18.86,Yes,0.16
31,NOR,5,PIT → HARD,4.68,Yes,0.16
31,VER,6,PIT → HARD,13.69,Yes,0.16
31,LIN,7,STAY OUT (TIRES FRESH),7.51,Yes,0.16
31,BEA,8,STAY OUT (TIRES FRESH),7.37,Yes,0.16
31,BOR,9,STAY OUT (TIRES FRESH),7.38,Yes,0.16
31,GAS,10,PIT → HARD,6.06,Yes,0.16
31,OCO,11,PIT → HARD,5.94,Yes,0.16
31,ALB,12,PIT → HARD,2.84,Yes,0.16
31,SAI,13,PIT → HARD,6.04,Yes,0.16
31,LAW,14,PIT → HARD,6.03,Yes,0.16
31,COL,15,PIT → HARD,15.12,Yes,0.16
31,PER,16,STAY OUT (TIRES FRESH),7.37,Yes,0.16
31,STR,17,PIT → HARD,15.16,Yes,0.16
32,RUS,1,PIT → HARD,3.05,Yes,0.16
32,ANT,2,PIT → HARD,1.92,Yes,0.16
32,LEC,3,STAY OUT (TIRES FRESH),14.6,Yes,0.16
32,HAM,4,STAY OUT (TIRES FRESH),17.98,Yes,0.16
32,NOR,5,PIT → HARD,4.93,Yes,0.16
32,VER,6,PIT → HARD,12.54,Yes,0.16
32,LIN,7,STAY OUT (TIRES FRESH),6.94,Yes,0.16
32,BEA,8,STAY OUT (TIRES FRESH),6.84,Yes,0.16
32,BOR,9,STAY OUT (TIRES FRESH),6.79,Yes,0.16
32,GAS,10,PIT → HARD,6.04,Yes,0.16
32,OCO,11,PIT → HARD,6.14,Yes,0.16
32,ALB,12,PIT → HARD,2.87,Yes,0.16
32,SAI,13,PIT → HARD,6.27,Yes,0.16
32,LAW,14,PIT → HARD,6.24,Yes,0.16
32,COL,15,PIT → HARD,14.04,Yes,0.16
32,PER,16,STAY OUT (TIRES FRESH),6.79,Yes,0.16
32,STR,17,PIT → HARD,13.8,Yes,0.16
33,RUS,1,PIT → HARD,3.26,Yes,0.15
33,ANT,2,PIT → HARD,2.23,Yes,0.15
33,LEC,3,STAY OUT (TIRES FRESH),13.77,Yes,0.15
33,HAM,4,STAY OUT (TIRES FRESH),17.21,Yes,0.15
33,NOR,5,PIT → HARD,5.16,Yes,0.15
33,VER,6,PIT → HARD,11.64,Yes,0.15
33,LIN,7,STAY OUT (TIRES FRESH),6.5,Yes,0.15
33,BEA,8,STAY OUT (TIRES FRESH),6.5,Yes,0.15
33,GAS,9,PIT → HARD,6.56,Yes,0.15
33,OCO,10,PIT → HARD,6.6,Yes,0.15
33,BOR,11,STAY OUT (TIRES FRESH),6.45,Yes,0.15
33,ALB,12,PIT → HARD,3.31,Yes,0.15
33,LAW,13,PIT → HARD,6.62,Yes,0.15
33,SAI,14,PIT → HARD,6.59,Yes,0.15
33,COL,15,PIT → HARD,12.98,Yes,0.15
33,PER,16,STAY OUT (TIRES FRESH),6.31,Yes,0.15
33,STR,17,PIT → HARD,13.09,Yes,0.15
34,RUS,1,PIT → HARD,3.36,Yes,0.17
34,ANT,2,PIT → HARD,2.29,Yes,0.17
34,LEC,3,STAY OUT (TIRES FRESH),13.14,Yes,0.17
34,HAM,4,STAY OUT (TIRES FRESH),16.49,Yes,0.17
34,VER,5,PIT → HARD,10.73,Yes,0.17
34,NOR,6,PIT → HARD,5.36,Yes,0.17
34,LIN,7,STAY OUT (Optimal Pit: Lap 39),6.0,Yes,0.17
34,BEA,8,STAY OUT (Optimal Pit: Lap 39),6.03,Yes,0.17
34,GAS,9,PIT → HARD,6.53,Yes,0.17
34,OCO,10,PIT → HARD,6.75,Yes,0.17
34,BOR,11,STAY OUT (TIRES FRESH),20.99,Yes,0.17
34,ALB,12,PIT → HARD,12.11,Yes,0.17
34,COL,13,PIT → HARD,11.91,Yes,0.17
34,LAW,14,PIT → HARD,11.96,Yes,0.17
34,SAI,15,STAY OUT (TIRES FRESH),7.93,Yes,0.17
34,PER,16,STAY OUT (Optimal Pit: Lap 39),6.04,Yes,0.17
34,STR,17,PIT → HARD,12.0,Yes,0.17
35,RUS,1,PIT → HARD,3.36,Yes,0.15
35,ANT,2,PIT → HARD,2.26,Yes,0.15
35,LEC,3,STAY OUT (TIRES FRESH),12.62,Yes,0.15
35,HAM,4,STAY OUT (TIRES FRESH),15.67,Yes,0.15
35,VER,5,PIT → HARD,9.82,Yes,0.15
35,LIN,6,STAY OUT (Optimal Pit: Lap 40),5.59,Yes,0.15
35,BEA,7,STAY OUT (Optimal Pit: Lap 40),5.65,Yes,0.15
35,NOR,8,STAY OUT (TIRES FRESH),9.77,Yes,0.15
35,GAS,9,PIT → HARD,6.71,Yes,0.15
35,OCO,10,PIT → HARD,6.64,Yes,0.15
35,BOR,11,STAY OUT (TIRES FRESH),19.96,Yes,0.15
35,ALB,12,PIT → HARD,11.1,Yes,0.15
35,COL,13,PIT → HARD,10.99,Yes,0.15
35,LAW,14,PIT → HARD,11.19,Yes,0.15
35,SAI,15,STAY OUT (TIRES FRESH),7.02,Yes,0.15
35,PER,16,STAY OUT (Optimal Pit: Lap 40),5.66,Yes,0.15
35,STR,17,PIT → HARD,11.13,Yes,0.15
36,RUS,1,PIT → HARD,3.36,No,0.12
36,ANT,2,PIT → HARD,2.27,Yes,0.12
36,LEC,3,STAY OUT (TIRES FRESH),12.04,Yes,0.12
36,HAM,4,STAY OUT (TIRES FRESH),15.14,Yes,0.12
36,VER,5,PIT → HARD,9.15,Yes,0.12
36,LIN,6,STAY OUT (Optimal Pit: Lap 41),5.51,Yes,0.12
36,BEA,7,STAY OUT (Optimal Pit: Lap 41),5.5,Yes,0.12
36,NOR,8,STAY OUT (TIRES FRESH),9.1,Yes,0.12
36,GAS,9,PIT → HARD,6.48,Yes,0.12
36,OCO,10,PIT → HARD,6.62,Yes,0.12
36,BOR,11,STAY OUT (TIRES FRESH),19.41,Yes,0.12
36,ALB,12,PIT → HARD,10.15,Yes,0.12
36,COL,13,PIT → HARD,10.27,Yes,0.12
36,LAW,14,PIT → HARD,10.01,Yes,0.12
36,SAI,15,STAY OUT (TIRES FRESH),6.54,Yes,0.12
36,PER,16,STAY OUT (Optimal Pit: Lap 41),5.2,Yes,0.12
36,STR,17,PIT → HARD,10.11,Yes,0.12
37,RUS,1,PIT → HARD,3.43,Yes,0.16
37,ANT,2,PIT → HARD,2.29,Yes,0.16
37,LEC,3,STAY OUT (TIRES FRESH),11.66,Yes,0.16
37,HAM,4,STAY OUT (TIRES FRESH),14.72,Yes,0.16
37,VER,5,PIT → HARD,8.28,Yes,0.16
37,LIN,6,STAY OUT (Optimal Pit: Lap 42),5.33,Yes,0.16
37,BEA,7,STAY OUT (Optimal Pit: Lap 42),5.09,Yes,0.16
37,NOR,8,STAY OUT (TIRES FRESH),8.38,Yes,0.16
37,OCO,9,PIT → HARD,6.53,Yes,0.16
37,GAS,10,PIT → HARD,6.54,Yes,0.16
37,BOR,11,STAY OUT (TIRES FRESH),18.66,Yes,0.16
37,ALB,12,PIT → HARD,9.13,Yes,0.16
37,LAW,13,PIT → HARD,9.14,Yes,0.16
37,COL,14,PIT → HARD,9.43,Yes,0.16
37,SAI,15,STAY OUT (TIRES FRESH),5.76,Yes,0.16
37,PER,16,STAY OUT (Optimal Pit: Lap 42),5.26,Yes,0.16
37,STR,17,PIT → HARD,9.5,Yes,0.16
38,RUS,1,PIT → HARD,3.43,No,0.11
38,ANT,2,PIT → HARD,2.15,Yes,0.11
38,LEC,3,STAY OUT (TIRES FRESH),11.31,Yes,0.11
38,HAM,4,STAY OUT (TIRES FRESH),14.25,Yes,0.11
38,VER,5,PIT → HARD,7.6,Yes,0.11
38,LIN,6,STAY OUT (Optimal Pit: Lap 43),5.21,Yes,0.11
38,NOR,7,STAY OUT (TIRES FRESH),7.79,Yes,0.11
38,BEA,8,STAY OUT (Optimal Pit: Lap 43),5.12,Yes,0.11
38,GAS,9,PIT → HARD,6.37,Yes,0.11
38,OCO,10,PIT → HARD,6.28,Yes,0.11
38,BOR,11,STAY OUT (TIRES FRESH),18.1,Yes,0.11
38,ALB,12,PIT → HARD,8.47,Yes,0.11
38,LAW,13,PIT → HARD,8.16,Yes,0.11
38,COL,14,PIT → HARD,8.09,Yes,0.11
38,SAI,15,STAY OUT (TIRES FRESH),5.15,Yes,0.11
38,PER,16,STAY OUT (Optimal Pit: Lap 43),5.13,Yes,0.11
38,STR,17,PIT → HARD,8.66,Yes,0.11
39,RUS,1,PIT → HARD,2.99,Yes,0.12
39,ANT,2,PIT → HARD,1.98,Yes,0.12
39,LEC,3,STAY OUT (TIRES FRESH),11.04,Yes,0.12
39,HAM,4,STAY OUT (TIRES FRESH),13.85,Yes,0.12
39,VER,5,PIT → HARD,6.85,Yes,0.12
39,NOR,6,STAY OUT (TIRES FRESH),7.28,Yes,0.12
39,LIN,7,STAY OUT (Optimal Pit: Lap 44),5.09,Yes,0.12
39,BEA,8,STAY OUT (Optimal Pit: Lap 44),5.24,Yes,0.12
39,GAS,9,PIT → HARD,6.03,Yes,0.12
39,BOR,10,STAY OUT (TIRES FRESH),17.25,Yes,0.12
39,OCO,11,PIT → HARD,6.18,Yes,0.12
39,ALB,12,PIT → HARD,7.61,Yes,0.12
39,LAW,13,PIT → HARD,7.3,Yes,0.12
39,COL,14,PIT → HARD,7.46,Yes,0.12
39,SAI,15,STAY OUT (TIRES FRESH),4.75,Yes,0.12
39,PER,16,STAY OUT (Optimal Pit: Lap 44),5.09,Yes,0.12
39,STR,17,PIT → HARD,7.78,Yes,0.12
40,RUS,1,PIT → HARD,2.69,Yes,0.15
40,ANT,2,PIT → HARD,1.67,Yes,0.15
40,LEC,3,STAY OUT (TIRES FRESH),10.7,Yes,0.15
40,HAM,4,STAY OUT (TIRES FRESH),13.67,Yes,0.15
40,VER,5,PIT → HARD,6.19,Yes,0.15
40,NOR,6,STAY OUT (TIRES FRESH),7.02,Yes,0.15
40,BEA,7,STAY OUT (Optimal Pit: Lap 45),5.24,Yes,0.15
40,LIN,8,STAY OUT (Optimal Pit: Lap 45),5.29,Yes,0.15
40,BOR,9,STAY OUT (TIRES FRESH),16.58,Yes,0.15
40,GAS,10,PIT → HARD,5.87,Yes,0.15
40,OCO,11,PIT → HARD,5.85,Yes,0.15
40,ALB,12,PIT → HARD,6.78,Yes,0.15
40,LAW,13,PIT → HARD,6.76,Yes,0.15
40,COL,14,PIT → HARD,7.1,Yes,0.15
40,SAI,15,STAY OUT (TIRES FRESH),4.46,Yes,0.15
40,PER,16,STAY OUT (Optimal Pit: Lap 45),5.39,Yes,0.15
40,STR,17,STAY OUT (TIRES FRESH),0.46,Yes,0.15
41,RUS,1,PIT → HARD,2.69,No,0.08
41,ANT,2,PIT → HARD,1.67,No,0.08
41,LEC,3,STAY OUT (Optimal Pit: Lap 46),10.7,Yes,0.08
41,HAM,4,STAY OUT (TIRES FRESH),13.37,Yes,0.08
41,VER,5,PIT → HARD,5.52,Yes,0.08
41,NOR,6,STAY OUT (TIRES FRESH),6.7,Yes,0.08
41,BEA,7,STAY OUT (Optimal Pit: Lap 46),5.55,Yes,0.08
41,LIN,8,STAY OUT (Optimal Pit: Lap 46),5.5,Yes,0.08
41,BOR,9,STAY OUT (TIRES FRESH),16.29,Yes,0.08
41,GAS,10,PIT → HARD,5.2,Yes,0.08
41,OCO,11,PIT → HARD,5.4,Yes,0.08
41,ALB,12,PIT → HARD,5.91,Yes,0.08
41,LAW,13,PIT → HARD,6.17,Yes,0.08
41,COL,14,PIT → HARD,6.18,Yes,0.08
41,SAI,15,STAY OUT (TIRES FRESH),4.57,Yes,0.08
41,PER,16,STAY OUT (Optimal Pit: Lap 46),5.27,Yes,0.08
41,STR,17,PIT → HARD,0.09,Yes,0.08
42,RUS,1,PIT → HARD,1.8,Yes,0.13
42,ANT,2,PIT → HARD,0.82,Yes,0.13
42,LEC,3,STAY OUT (Optimal Pit: Lap 47),10.64,Yes,0.13
42,HAM,4,STAY OUT (TIRES FRESH),13.21,Yes,0.13
42,NOR,5,STAY OUT (TIRES FRESH),6.64,Yes,0.13
42,VER,6,STAY OUT (TIRES FRESH),21.39,Yes,0.13
42,BEA,7,STAY OUT (Optimal Pit: Lap 47),5.65,Yes,0.13
42,LIN,8,STAY OUT (Optimal Pit: Lap 47),5.66,Yes,0.13
42,BOR,9,STAY OUT (TIRES FRESH),15.9,Yes,0.13
42,GAS,10,PIT → HARD,4.63,Yes,0.13
42,OCO,11,PIT → HARD,4.72,Yes,0.13
42,ALB,12,PIT → HARD,5.54,Yes,0.13
42,LAW,13,PIT → HARD,5.31,Yes,0.13
42,COL,14,PIT → HARD,5.51,Yes,0.13
42,SAI,15,STAY OUT (TIRES FRESH),4.3,Yes,0.13
42,PER,16,STAY OUT (Optimal Pit: Lap 47),5.64,Yes,0.13
42,STR,17,PIT → HARD,0.67,Yes,0.13
43,RUS,1,PIT → HARD,1.8,No,0.14
43,ANT,2,PIT → HARD,0.31,Yes,0.14
43,LEC,3,STAY OUT (Optimal Pit: Lap 48),10.72,Yes,0.14
43,HAM,4,STAY OUT (TIRES FRESH),13.26,Yes,0.14
43,NOR,5,STAY OUT (TIRES FRESH),6.61,Yes,0.14
43,VER,6,STAY OUT (TIRES FRESH),20.89,Yes,0.14
43,BEA,7,STAY OUT (Optimal Pit: Lap 48),5.98,Yes,0.14
43,LIN,8,STAY OUT (Optimal Pit: Lap 48),6.0,Yes,0.14
43,BOR,9,STAY OUT (TIRES FRESH),15.59,Yes,0.14
43,GAS,10,PIT → HARD,4.13,Yes,0.14
43,OCO,11,PIT → HARD,4.72,No,0.14
43,ALB,12,PIT → HARD,4.87,Yes,0.14
43,LAW,13,PIT → HARD,4.82,Yes,0.14
43,COL,14,PIT → HARD,4.93,Yes,0.14
43,SAI,15,STAY OUT (TIRES FRESH),4.49,Yes,0.14
43,PER,16,STAY OUT (Optimal Pit: Lap 48),6.11,Yes,0.14
43,STR,17,PIT → HARD,1.07,Yes,0.14
44,RUS,1,PIT → HARD,0.65,Yes,0.09
44,ANT,2,STAY OUT (Optimal Pit: Lap 49),0.38,Yes,0.09
44,LEC,3,STAY OUT (Optimal Pit: Lap 49),10.84,Yes,0.09
44,HAM,4,STAY OUT (Optimal Pit: Lap 49),13.01,Yes,0.09
44,NOR,5,STAY OUT (TIRES FRESH),6.74,Yes,0.09
44,VER,6,STAY OUT (TIRES FRESH),20.36,Yes,0.09
44,BEA,7,STAY OUT (Optimal Pit: Lap 49),6.41,Yes,0.09
44,LIN,8,STAY OUT (Optimal Pit: Lap 49),6.43,Yes,0.09
44,BOR,9,STAY OUT (TIRES FRESH),15.38,Yes,0.09
44,GAS,10,PIT → HARD,3.39,Yes,0.09
44,OCO,11,PIT → HARD,3.51,Yes,0.09
44,ALB,12,PIT → HARD,4.19,Yes,0.09
44,LAW,13,PIT → HARD,4.05,Yes,0.09
44,COL,14,PIT → HARD,4.38,Yes,0.09
44,SAI,15,STAY OUT (TIRES FRESH),4.58,Yes,0.09
44,PER,16,STAY OUT (TIRES FRESH),8.31,Yes,0.09
45,RUS,1,STAY OUT (Optimal Pit: Lap 50),0.12,Yes,0.09
45,ANT,2,STAY OUT (Optimal Pit: Lap 50),1.06,Yes,0.09
45,LEC,3,STAY OUT (Optimal Pit: Lap 50),10.99,Yes,0.09
45,HAM,4,STAY OUT (Optimal Pit: Lap 50),13.25,Yes,0.09
45,NOR,5,STAY OUT (TIRES FRESH),7.01,Yes,0.09
45,VER,6,STAY OUT (TIRES FRESH),20.06,Yes,0.09
45,BEA,7,STAY OUT (Optimal Pit: Lap 50),6.91,Yes,0.09
45,LIN,8,STAY OUT (Optimal Pit: Lap 50),6.82,Yes,0.09
45,BOR,9,STAY OUT (TIRES FRESH),15.31,Yes,0.09
45,GAS,10,PIT → HARD,2.75,Yes,0.09
45,OCO,11,PIT → HARD,2.85,Yes,0.09
45,ALB,12,PIT → HARD,3.74,Yes,0.09
45,LAW,13,PIT → HARD,3.65,Yes,0.09
45,COL,14,PIT → HARD,3.75,Yes,0.09
45,SAI,15,STAY OUT (TIRES FRESH),4.77,Yes,0.09
45,PER,16,STAY OUT (TIRES FRESH),7.48,Yes,0.09
46,RUS,1,STAY OUT (Optimal Pit: Lap 51),0.96,Yes,0.04
46,ANT,2,STAY OUT (Optimal Pit: Lap 51),1.76,Yes,0.04
46,LEC,3,STAY OUT (Optimal Pit: Lap 50),10.99,No,0.04
46,HAM,4,STAY OUT (Optimal Pit: Lap 50),13.25,No,0.04
46,NOR,5,STAY OUT (TIRES FRESH),7.01,No,0.04
46,VER,6,STAY OUT (TIRES FRESH),19.63,Yes,0.04
46,BEA,7,STAY OUT (Optimal Pit: Lap 51),7.47,Yes,0.04
46,LIN,8,STAY OUT (Optimal Pit: Lap 51),7.49,Yes,0.04
46,BOR,9,STAY OUT (TIRES FRESH),15.23,Yes,0.04
46,GAS,10,PIT → HARD,1.8,Yes,0.04
46,OCO,11,PIT → HARD,1.91,Yes,0.04
46,ALB,12,PIT → HARD,3.12,Yes,0.04
46,LAW,13,PIT → HARD,2.96,Yes,0.04
46,COL,14,PIT → HARD,3.04,Yes,0.04
46,SAI,15,STAY OUT (TIRES FRESH),11.58,Yes,0.04
46,PER,16,STAY OUT (TIRES FRESH),7.62,Yes,0.04
47,RUS,1,STAY OUT (Optimal Pit: Lap 51),0.96,No,0.04
47,ANT,2,STAY OUT (Optimal Pit: Lap 51),1.76,No,0.04
47,LEC,3,STAY OUT (Optimal Pit: Lap 52),11.67,Yes,0.04
47,HAM,4,STAY OUT (Optimal Pit: Lap 52),13.61,Yes,0.04
47,NOR,5,STAY OUT (TIRES FRESH),7.79,Yes,0.04
47,VER,6,STAY OUT (TIRES FRESH),19.39,Yes,0.04
47,BEA,7,STAY OUT (Optimal Pit: Lap 52),8.04,Yes,0.04
47,LIN,8,STAY OUT (Optimal Pit: Lap 52),8.13,Yes,0.04
47,BOR,9,STAY OUT (TIRES FRESH),15.29,Yes,0.04
47,GAS,10,PIT → HARD,0.88,Yes,0.04
47,OCO,11,PIT → HARD,0.88,Yes,0.04
47,ALB,12,PIT → HARD,2.65,Yes,0.04
47,LAW,13,PIT → HARD,2.55,Yes,0.04
47,COL,14,STAY OUT (TIRES FRESH),12.92,Yes,0.04
